book_id,title,date,imprint,placeOfPublication,wordcount,ecco_ID,tcp_ID,author,author_name,author_surname,author_born,author_died
100000700,CLUMP and CUDDEN; OR THE REVIEW: A COMIC MUSICAL PIECE IN ONE ACT As it is PERFORMED at the ROYAL CIRCUS. WRITTEN AND COMPOSED BY Mr. DIBDIN.,1785,[London?] : Printed in the year,London,3511,CW3309777518,K001482.000,Charles Dibdin 1745-1814,Charles Dibdin,Dibdin,1745,1814
100000800,THE MAGIC OF OROSMANES; OR Harlequin Slave and Sultan: A PANTOMIME DRAWN FROM THE ARABIAN LEGENDS.,1785,[London?] : Printed in the year,London,2318,CW3309777548,K002765.000,Charles Dibdin 1745-1814,Charles Dibdin,Dibdin,1745,1814
100101200,THE FLIGHTS OF FANCY; Being a COLLECTION of ORIGINAL PIECES IN VERSE and PROSE Never before Publish'd.,1766,London : printed for the author and sold by J. Williams near the Mitre-Tavern in Fleet-Street,London,22361,CW3309777899,K001511.000,George Saville Carey 1743-1807,George Saville Carey,Carey,1743,1807
1001101200,AN EPISTLE TO The RIGHT HONOURABLE Sir ROBERT WALPOLE.,1726,London : printed for J. Walthoe,London,1621,CW3322414536,K105365.000,George Bubb Baron of Melcombe Regis Dodington 1691-1762,George Bubb Baron of Melcombe Regis Dodington,Dodington,1691,1762
100200200,Love in a Village; A COMIC OPERA. As it is performed at the THEATRE ROYAL IN COVENT-GARDEN.,1763,London : printed by W. Griffin; for J. Newbery and W. Nicoll in St. Paul's Church-Yard; G. Kea,London,16602,CW3310088372,K002009.000,Isaac Bickerstaff 1735-1812,Isaac Bickerstaff,Bickerstaff,1735,1812
100300600,THE NEW BATH GUIDE: OR MEMOIRS of the Bâ€”Râ€”D FAMILY.,1766,[London] : Sold by J. Dodsley; J. Wilson &#38; J. Fell; and J. Almon London; W. Frederick at Bath;,London,12769,CW3312994380,K003286.000,Christopher Anstey 1724-1805,Christopher Anstey,Anstey,1724,1805
100302500,THE LIFE OF THE Lady JANE GRAY. WITH SOME REMARKS ON THE PLAY. In a LETTER to a FRIEND. By William Rufus Chetwood.,1715,Dublin : printed for G. Risk Bookseller at the London in Dames-Street over-against the Horse-,Dublin,2066,CW3312044447,K002428.000,W. R. (William Rufus) d. Chetwood 1766-,W. R. (William Rufus) d. Chetwood,Chetwood,1766,
1003600100,ELEGIES.,1777,London : printed for J. Bew in Pater-Noster-Row,London,1779,CW3305669456,K086061.000,Thomas Holcroft 1745-1809,Thomas Holcroft,Holcroft,1745,1809
1004400600,HUMAN HAPPINESS; OR THE SCEPTIC.,1783,London : printed for L. Davis Holborn; J. Robson New Bond-Street; J. Johnson St. Paul's Churc,London,10571,CW3315595240,K086062.000,Thomas Holcroft 1745-1809,Thomas Holcroft,Holcroft,1745,1809
100501601,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,Dublin : printed for George and Alex. Ewing,Dublin,73694,CW3310092726,K001334.001,Oliver Goldsmith 1728-1774,Oliver Goldsmith,Goldsmith,1728,1774
100501602,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,Dublin : printed for George and Alex. Ewing,Dublin,66400,CW3309532017,K001334.002,Oliver Goldsmith 1728-1774,Oliver Goldsmith,Goldsmith,1728,1774
1005900500,AN ABRIDGMENT OF THE HISTORY OF ENGLAND FROM The INVASION of JULIUS CAESAR to the DEATH of GEORGE II. By Dr. GOLDSMITH.,1774,London : printed for G. Kearsley No. 46 Fleet-Street,London,109522,CW3303525731,K124952.000,Oliver Goldsmith 1728-1774,Oliver Goldsmith,Goldsmith,1728,1774
100601400,AN EPISTLE TO THE Right Honourable Sir ROBERT WALPOLE KNIGHT of the Most Noble Order of the Garter.,1732,London : printed for J. Roberts in Warwick-Lane,London,1645,CW3309533911,K000913.000,Richard d. Savage 1743-,Richard d. Savage,Savage,1743,
1006500400,A PROPOSAL For putting a Speedy End to the War By Ruining the COMMERCE of the French and Spaniards And Securing our Own Without any additional Expence to the Nation.,1703,London : printed for Daniel Brown at the Black Swan and Bible without Templebar and Andrew Bell,London,7248,CW3305674049,K087514.000,John Dennis 1657-1734,John Dennis,Dennis,1657,1734
100703300,THE LOVE OF GAIN: A POEM.,1799,London : printed for J. Bell No. 148 Oxford-Street,London,4844,CW3309537008,K003605.000,M. G. (Matthew Gregory) Lewis 1775-1818,M. G. (Matthew Gregory) Lewis,Lewis,1775,1818
1007400201,THE ADVENTURES OF Roderick Random.,1748,London : printed for J. Osborn in Pater-Noster-Row,London,92600,CW3315601118,K049357.001,Tobias George Smollett 1721-1771,Tobias George Smollett,Smollett,1721,1771
1007400202,THE ADVENTURES OF Roderick Random.,1748,London : printed for J. Osborn in Pater-Noster-Row,London,99709,CW3315601464,K049357.002,Tobias George Smollett 1721-1771,Tobias George Smollett,Smollett,1721,1771
100902100,King HENRY the VII. OR The POPISH IMPOSTOR.,1746,London : printed for R. Francklin  in Covent-Garden ; R. Dodsley  in Pall-Mall ; and J. Brothe,London,20170,CW3309539766,K002991.000,Charles Macklin 1697?-1797,Charles Macklin,Macklin,1697?,1797
101001800,THE HOTEL: OR THE SERVANT WITH TWO MASTERS. AS IT WAS PERFORMED At the THEATRE-ROYAL Smock-Alley WITH DISTINGUISHED APPLAUSE.,1783,Cork : printed for Anthony Edwards Book-Seller No. 3 Castle-Street,Cork,10660,CW3309542864,K001382.000,Robert Jephson 1736-1803,Robert Jephson,Jephson,1736,1803
1010300800,CUPID and HYMEN; Or a VOYAGE to the ISLES of LOVE and MATRIMONY.,1742,London : printed for T. Cooper at the Globe in Pater-Noster-Row and sold by the booksellers in,London,23992,CW3315616842,K099474.000,Henry Carey 1687?-1743,Henry Carey,Carey,1687?,1743
1013401100,DIVINE SONGS ATTEMPTED IN EASY LANGUAGE FOR THE USE OF CHILDREN.,1777,London : printed for J. Buckland; J. F. and C. Rivington; T. Longman; W. Fenner; T. Field; and E,London,7735,CW3315630393,K123515.000,Isaac Watts 1674-1748,Isaac Watts,Watts,1674,1748
101403800,THE GENERAL. A POEM.,1764,London : printed for W. Nicoll and W. Bristow in St. Paul's Church-Yard; and C. Etherington i,London,5517,CW3324700636,K000791.000,Francis Gentleman 1728-1784,Francis Gentleman,Gentleman,1728,1784
